2466284,ramek21134,,197,649,1
461914,TASM,,1188,526,1
213578,tadek1,,604,577,1
2083391,czarekk12,,0,674,0
2423328,szalone+Pi%C3%B3rko,,0,694,0
1176870,cobra9,,865,556,1
2416645,Maksyw,,494,604,1
2477104,Shexen,,221,632,1
2453834,Henio16,,3726,454,1
2472839,Zipek,6063,2995,465,1
1897203,tomekkost1997,5638,11120,418,2
2466379,Stane,7113,1312,516,1
2472440,Veles,,974,543,1
3468,Lady+Diablos,1220,2119585,158,143
691089,zeus3712,,12107,415,1
1962912,Bolsowaty,,0,670,0
2448279,tomcisto,7665,1369,513,1
638992,bopikal,,0,671,0
2447528,tratata123,,0,698,0
1931791,Triada.,,226,619,1
588247,tyson2012,,983,541,1
710092,jezik111,,0,680,0
2291340,obx1,,0,687,0
2040954,Leon9999,263,11539,417,1
2468373,Lilolola21,,945,552,1
1512400,tel65432,7710,9125,424,2
763273,G2+kolos,7707,990,539,1
402367,Filostratos,,1033,536,1
1940241,Go-go,,1887,490,1
2477478,TJ12,,0,696,0
839831,omernik,,997,538,1
2225488,Xeener,,494,605,1
2368780,matys81,1948,13896,412,4
877787,jobo,,6082,439,2
2446746,GestmaGa16,,0,676,0
2046469,ELIZLA,7710,3535,458,1
2170506,DarroV,,0,675,0
498081,matematyk9,,0,686,0
868996,yugix,,548,590,1
1817046,JulaH1,5638,3540,457,1
431625,rewos,263,7783,430,3
1153612,naukraria,,564,585,1
2260664,hudini111,7711,1288,518,1
1508510,Li998,,197,642,1
1714013,Jacoslaw1984,,0,678,0
49477,tombar76,7003,1793,496,1
2466573,oto33,,735,573,1
2476133,dynia,,175,654,1
490441,mateusz841,,952,550,1
41950,ellwis1,,197,639,1
2303052,TaluZ,,472,607,1
171639,Masajek,,459,609,1
2450369,Helenka0,7717,1873,491,1
2418737,Sir+Arcade,,2844,469,1
1639315,pantenorek1,7715,869,555,1
1819403,WlaZiek,,175,667,1
2398099,luj666,,970,545,1
534724,glawiator1221,4333,2352,482,1
2476161,Krako,7715,838,563,1
2105338,Rymiz,,0,691,0
2475078,Lassemb,,622,576,1
2458765,Lip88,,223,625,1
2375417,FARMER56,,2413,480,1
873430,henio10,,0,677,0
2338108,Zeus2131,,806,565,1
706562,heda53,,955,549,1
2447108,piotrnikolas,,596,578,1
2242738,paja.2003,,760,570,1
2436603,Krzysztofus+Wielki,,842,562,1
1163305,draki00700,7524,1061,534,1
752900,xardes23,,226,620,1
908849,marexxx,,197,643,1
2397221,Zag%C5%82%C4%99bie+Lubin,,968,546,1
2103106,krasula8,7113,9330,422,1
2194658,zehetbauer1,2461,3148606,124,208
2354895,sendjan,4333,1966,489,1
1773280,jurek6,7688,0,681,0
2378677,SzamanBurito,7711,956,548,1
381300,leszek2406,,1067,533,1
624759,rob-242,,576,582,1
124129,pchelka10,,534,593,1
2472835,Misiek,,175,663,1
1018714,ziuziulas,2394,1441121,192,85
645050,gszns,7716,946,551,1
2174171,ireneusz1978081,5638,5965,441,2
1846620,Bastex0066,2461,15850,407,2
2476532,Ryukyu,,221,631,1
1657327,sowuwny2002,5638,16684,405,3
804047,lukasz198504,,972,544,1
2013414,Nerafan,,1679,501,1
2447416,kris5709,7665,96108,348,13
2424651,xSpeedplayer,7003,1052,535,1
2110222,zastrzal11,,225,622,1
686200,mario2mm,,197,644,1
2469702,paciek1986,,475,606,1
2475693,cdert,,501,603,1
371536,hubert123459,,175,657,1
2471395,pokechamp,,0,688,0
2474205,lve02,7660,1140,527,1
94640,hort3x,,175,656,1
1735013,selentyn,7688,1329,515,1
2476435,proarczi006,,530,594,1
2142352,FabianT,,223,623,1
1106705,huron321,,535,592,1
2444739,grepolis4444,,413,612,1
104201,PITER60,,979,542,1
852150,Ganesha84,,199,637,1
1374534,Nastraszony,,175,664,1
1122259,Jelen941,263,3797057,111,235
1105037,Harry380,,843,561,1
1182097,anemik2211,,1012,537,1
429030,matriks007,7003,12105,416,3
2476905,RobuR,7665,1259,520,1
2037275,narsik,7003,1299,517,1
137556,rafi1275,,2311,483,1
2466949,kole59,,223,624,1
288327,shaman8908,,572,583,1
1406907,valvii,,175,666,1
2466574,martaant,7003,2138,484,1
213038,WARGORDS,,221,633,1
1797889,Eatonn,,226,618,1
2471200,pacek+20,,509,601,1
2466561,10kamil1,,698,574,1
130643,kondi511,,1522,505,1
2243091,maciek196506,,1270,519,1
1661903,mateuszpawlak0699,7481,3430,460,1
1851221,marek44444,7688,4071,450,1
2295228,niuniek68,7693,1856,494,1
1889744,Ortografista,,175,665,1
2334665,Tetley120,1948,123723,338,11
1176454,ars42,7710,8368,427,2
1348733,ivon20,5638,4110,449,2
2266966,Krynix,5638,6037,440,1
1672593,PPHA,4333,153570,323,14
2472324,krzys,,175,660,1
2467581,maludameister,,467,608,1
656456,lordbeer,2461,6413,438,1
2442379,anit78a,,1197,525,1
747983,przytulis21,,562,587,1
228278,kibic24,7505,2887,468,1
2449392,Gannikus777,,1852,495,1
780678,Pscola,5638,1433,509,1
2451737,Anitka43,,57403,375,8
1731607,fukaaj,,175,655,1
1218732,gola9919,7688,3024,464,1
2443206,kawka03,,806,564,1
1264943,tomkemotstudio,,790,567,1
2474471,Pan+Pierdz%C4%85cy,,887,554,1
807992,adek2626,7481,2760,472,1
2476400,RoKi,,590,581,1
2470482,markan090,,197,645,1
1423911,ketura,7419,9611,421,4
1281608,Someone9494,,0,693,0
2475032,Polia+gre,,197,648,1
790184,TARGARYEN,,752,571,1
2473477,STARVING200,,513,600,1
2315239,Murusek03,7665,1335,514,1
781284,teleskop0636,7003,29753,396,5
2468461,Dregu,,592,579,1
657206,czaru%C5%9Bek10,,175,652,1
2461693,Witek,,254,616,1
609149,mirek.1,7688,3144,462,1
422005,justyn+ma%C5%82y,,1402,511,1
195371,kendavii,,221,627,1
2171752,DoradaX,2394,1366833,197,135
1743820,casanova76,7720,1434,508,1
582485,mbaj11,7705,3879,452,1
2460090,rozbojnik25,,2951,466,2
2472815,RoOb180,,452,610,1
1056382,maes,,221,628,1
2473755,Komo,7711,902,553,1
1003702,Marcin2459,45,10104922,13,635
2476158,Kraszu,,219,635,1
2449851,tatus111,7598,2768,471,1
2028528,atletikpl,,225,621,1
2471895,Menelik,,175,662,1
2051778,Miaaara,,221,629,1
2336930,snajper651241,,232,617,1
473888,kordian181,5638,161155,321,13
269647,rafi41,,2404,481,1
1282232,Kemezrp1987,5638,8089,428,2
2178088,tajfunek001,,0,695,0
1725725,St%C4%99bark1410,7680,12280,414,3
2377004,MaTeJeK662,,563,586,1
2450879,Rob1982,7419,70269,364,7
160656,aga15862,,4011,451,1
494294,trytyl72,148,5893285,59,394
2473760,Majster,7711,800,566,1
2450140,Laki0,2557,70504,363,7
818784,piotr775,,272,614,1
90646,pelcia,1472,10075,420,2
1048542,Crysis3,45,6984500,44,401
517765,Bossssss,1472,11960550,8,771
364800,Michallus,,197,647,1
813778,adamf1974,7113,7038,434,1
827837,jacac,148,2901435,131,187
2466876,Dragon0321,,850,560,1
1905332,Stefan+1952,7505,2059,486,1
1392288,Mordeu,7630,7669,431,2
2101451,GaszuGG,,560,588,1
2466497,WIRUSY,,221,634,1
2307452,wiepon,7113,3305,461,1
264290,ksi%C4%85%C5%BCe+Aragorn,,0,684,0
2233717,Mariusz+Melcer,,1695,498,1
1073857,Kijakowski,,3620,456,1
871548,DynamiX07,7703,1686,500,1
2397198,Michcik123,,448,611,1
2256583,ahmedov,,179,650,1
2472303,pika,,549,589,1
1126149,MoNsTeR+s,263,35704,391,6
1592449,bratek414,,69379,365,10
164892,bartoxvx,2557,150915,324,11
416737,henryk53,7524,9247,423,3
2398412,hazardddd,7688,1129,528,1
141922,benty,5638,6904,435,1
2035657,zeusfaber,7669,1860,493,1
1789804,sylwekgw,7113,1428,510,1
224253,kuba3134,263,1417906,195,148
2462118,Cyanida,263,64656,368,7
350334,Leszek10,148,2689430,135,218
2472257,Sierro,,1093,530,1
660628,DonMagik,2557,866938,230,72
818209,gtiv8,,633,575,1
2475682,mnbvc,,273,613,1
2419352,HUZAR35,,516,599,1
1221046,marecki57,7478,1691,499,1
524633,tomglajc,148,8476353,29,542
1903436,Ewro01,6063,89395,350,6
2465450,Gargamellini22,,199,638,1
574114,aniae100,1472,4383418,96,295
1002015,diabelek275,45,7063264,43,475
2263200,ttaattaatt,2461,5692,443,1
1348585,nabokovia,7505,1578,502,1
640205,Grepolis81.10.10,148,620826,251,40
236112,Malick,7619,70979,362,6
1035981,kozis,1948,5328787,70,434
196356,MAR25,1706,8661963,27,540
1048955,Tadzik342,7669,40528,390,7
19817,kowbojmariusz,1472,4650099,82,282
529956,victoriaza,1948,2903023,130,167
630541,jaraczos,2557,2558845,139,219
804572,gewa33,3807,4489102,92,267
495062,lappa,7340,990,540,1
2132021,variette50,5638,1862,492,1
5168,jauffrey,263,148116,325,15
646957,lucwro,263,4391364,95,247
310234,Morko,5638,95564,349,10
47995,Cass,148,8731160,25,537
2321657,krotkimokry,,0,683,0
1907605,Stan+Zol,2394,629022,250,52
2475694,polki,,256,615,1
1672460,Gwiezdne+wrota02,,1097,529,1
2475687,cxzasd,,0,673,0
1068211,Rodman,7559,2002680,164,177
717542,zuri599,1948,3628344,115,204
913787,andrzej43215,7619,183586,315,16
449291,HUTIUS,5638,63876,369,9
1834654,leodnidas235,263,4720116,81,318
1601568,tomerton12,7505,0,697,0
1928066,emil23111,,1072,531,1
2476433,Matejko1205,,197,646,1
2463062,Rafa%C5%82Mar,,0,689,0
2444210,SPALONY+GRZESIU,,527,595,1
2305879,Venus1818,3807,1644981,182,100
2246961,composer,7520,44268,388,9
2357240,paradoxheros,7598,1070,532,1
39810,grom+pl+pedro,45,14703628,2,901
2220980,RSQ6,1472,2604704,138,186
2350747,TakaTai,1220,1427977,194,101
2461120,AdaMPr%C4%85tnickI,,1502,506,1
1751856,ComTrade,5638,32123,395,5
315217,KondorT,7524,2551,478,1
735909,Templariusz+III,1706,3997154,104,253
2260679,POT%C4%98ZNE+KACZORY,4333,46959,386,5
2459099,hecek,7658,5712,442,3
887495,Mistrz+%C5%9Awiat%C5%82a,263,967212,224,68
2396362,mzawiejaka,6063,221172,306,21
1393598,maxraf1,2461,714740,239,51
2447762,NotConquerMe,263,46967,385,4
1825461,cezarexix,45,837205,232,72
2464647,Drama+show,,858,557,1
451794,piow,148,4566660,85,270
1571450,briti2000,2557,2023328,162,126
2475695,jhgf,,503,602,1
971293,Matisek09,1948,4194906,100,293
247845,SirMario,7419,7540,432,2
2149353,kordi777,1706,1271314,204,85
706392,damek4,5638,598516,253,46
701858,Kalabero,148,5017796,76,343
1181762,infantka,263,2521696,142,184
377595,dorka699,148,6150517,57,405
836475,metallic3,5638,2274335,151,155
1321884,przemko100,1948,3194598,122,180
60203,danie09,7669,2892,467,1
2475688,xzasdf,,0,699,0
1671864,pogoda5862,,5334,444,2
19323,PUCUSIOSZPON,2557,17687,404,4
914886,Ammmm,2394,1693945,176,140
301404,leon16,,83389,357,8
1845076,MMW1,5638,2692,476,1
341262,klipero,1706,13148965,3,793
2393369,jared111,,175,658,1
1713472,Love-Me,,175,661,1
1030371,czita121,3807,2322784,148,140
957424,M%C5%81ODY+WOJOWNIK,1472,6822447,48,449
2373434,ZYGIATOR,7429,32816,393,8
2380550,starness,,524,597,1
10515,Lord+Soseni,148,5727107,63,361
558184,jacekbaczkowski,1706,915300,227,61
1552379,Wioska+Lord+Sir+Tomasz1,263,84604,354,11
294523,cez40,45,8051018,36,531
